COV_COND     , COR_MODE           , Impr, SImpr, SWors, Wors, #DAMPOS_UNION, #DAMPOS_SPEC, #POS_COR_CHANGED, #POS_SIM_DAM
COV-5.RUN-1  , ref-based_silencing,   99,    40,   175,   27,          1874,         1824,              314,         2034
COV-5.RUN-2  , ref-based_silencing,  106,    48,   162,   30,          1880,         1833,              316,         2086
COV-5.RUN-3  , ref-based_silencing,   90,    47,   157,   28,          1912,         1854,              294,         2092
COV-5.RUN-4  , ref-based_silencing,  111,    34,   183,   23,          1960,         1907,              328,         2127
COV-5.RUN-5  , ref-based_silencing,   89,    35,   180,   26,          1869,         1820,              304,         2103

COV-5.RUN-1  , ref-free_silencing ,   99,    28,   182,   39,          1874,         1849,              315,         2034
COV-5.RUN-2  , ref-free_silencing ,  106,    33,   173,   45,          1880,         1847,              319,         2086
COV-5.RUN-3  , ref-free_silencing ,   90,    29,   168,   46,          1912,         1884,              288,         2092
COV-5.RUN-4  , ref-free_silencing ,  111,    17,   192,   40,          1960,         1933,              332,         2127
COV-5.RUN-5  , ref-free_silencing ,   89,    19,   188,   42,          1869,         1842,              301,         2103

COV-5.RUN-1  , ref-free_weighting ,  100,    19,     2,   43,          1874,         1849,              125,         2034
COV-5.RUN-2  , ref-free_weighting ,  113,    27,     7,   51,          1880,         1847,              152,         2086
COV-5.RUN-3  , ref-free_weighting ,   90,    22,     8,   49,          1912,         1884,              121,         2092
COV-5.RUN-4  , ref-free_weighting ,  112,    13,     8,   44,          1960,         1933,              138,         2127
COV-5.RUN-5  , ref-free_weighting ,   96,    14,     5,   44,          1869,         1842,              117,         2103

COV-7.5.RUN-1, ref-based_silencing,  108,    24,    49,   41,          2632,         2565,              181,         2774
COV-7.5.RUN-2, ref-based_silencing,  100,    26,    61,   49,          2668,         2594,              187,         2804
COV-7.5.RUN-3, ref-based_silencing,  106,    24,    61,   47,          2675,         2592,              191,         2796
COV-7.5.RUN-4, ref-based_silencing,  119,    27,    54,   38,          2691,         2623,              200,         2831
COV-7.5.RUN-5, ref-based_silencing,  114,    27,    55,   38,          2596,         2531,              196,         2774

COV-7.5.RUN-1, ref-free_silencing ,  108,    13,    59,   52,          2632,         2604,              185,         2774
COV-7.5.RUN-2, ref-free_silencing ,  100,    14,    71,   61,          2668,         2630,              195,         2804
COV-7.5.RUN-3, ref-free_silencing ,  106,     9,    67,   62,          2675,         2641,              189,         2796
COV-7.5.RUN-4, ref-free_silencing ,  119,     5,    63,   60,          2691,         2655,              195,         2831
COV-7.5.RUN-5, ref-free_silencing ,  114,     5,    63,   60,          2596,         2560,              189,         2774

COV-7.5.RUN-1, ref-free_weighting ,   92,    11,     6,   52,          2632,         2604,              112,         2774
COV-7.5.RUN-2, ref-free_weighting ,   87,     8,     8,   67,          2668,         2630,              107,         2804
COV-7.5.RUN-3, ref-free_weighting ,  103,     7,     3,   64,          2675,         2641,              116,         2796
COV-7.5.RUN-4, ref-free_weighting ,  108,     4,     5,   61,          2691,         2655,              119,         2831
COV-7.5.RUN-5, ref-free_weighting ,  103,     3,     5,   60,          2596,         2560,              113,         2774

COV-10.RUN-1 , ref-based_silencing,   93,    22,     7,   53,          3192,         3099,              122,         3331
COV-10.RUN-2 , ref-based_silencing,   92,    22,    18,   56,          3237,         3145,              132,         3345
COV-10.RUN-3 , ref-based_silencing,   91,    17,    18,   55,          3206,         3106,              126,         3341
COV-10.RUN-4 , ref-based_silencing,  104,    23,    13,   46,          3230,         3151,              140,         3370
COV-10.RUN-5 , ref-based_silencing,   82,    21,    13,   48,          3186,         3111,              116,         3358

COV-10.RUN-1 , ref-free_silencing ,   93,     6,    14,   69,          3192,         3155,              120,         3331
COV-10.RUN-2 , ref-free_silencing ,   92,     7,    25,   71,          3237,         3197,              132,         3345
COV-10.RUN-3 , ref-free_silencing ,   91,     3,    27,   69,          3206,         3171,              126,         3341
COV-10.RUN-4 , ref-free_silencing ,  104,     3,    19,   66,          3230,         3191,              136,         3370
COV-10.RUN-5 , ref-free_silencing ,   82,     3,    20,   66,          3186,         3148,              112,         3358

COV-10.RUN-1 , ref-free_weighting ,   78,     3,     3,   71,          3192,         3155,               88,         3331
COV-10.RUN-2 , ref-free_weighting ,   77,     5,     5,   72,          3237,         3197,               90,         3345
COV-10.RUN-3 , ref-free_weighting ,   81,     2,     5,   70,          3206,         3171,               91,         3341
COV-10.RUN-4 , ref-free_weighting ,   89,     2,     3,   66,          3230,         3191,               98,         3370
COV-10.RUN-5 , ref-free_weighting ,   71,     2,     5,   66,          3186,         3148,               80,         3358
